識別情報,団体コード,種別,団体名,概要,名称,住所_表記,通称,施設_緯度,施設_経度,ホームページ,施設_電話番号,開始時間,終了時間,自由記述欄,日時備考
53,11224,公園,埼玉県戸田市,,中町公園,埼玉県戸田市中町1丁目11番地,,35.813306,139.691907,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=53,,,,昭和５３年に区画整理により設置した。,
54,11224,公園,埼玉県戸田市,,早瀬東公園,埼玉県戸田市早瀬1丁目20番地,,35.804133,139.650569,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=54,,,,当該地域は、埼京線戸田公園駅から西へ約2.5Km及び新大宮バイパスから東へ約0.2Kmにあって、市西部に位置し昭和30年度までに戸田土地区画整理事業(組合施行)により整備された地域であります。,
55,11224,公園,埼玉県戸田市,,笹目南さくら公園,埼玉県戸田市笹目南町18番地,,35.812131,139.653822,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=55,,,,当該地域は、埼京線戸田公園駅から西へ約2.2Km及び新大宮バイパスから東へ約0.4Kmにあって、市西部に位置し、昭和30年度までに戸田市土地区画整理事業により整備された地域であります。,
56,11224,公園,埼玉県戸田市,,けやき公園,埼玉県戸田市 	氷川町1丁目12番地,,35.808924,139.659983,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=56,,,,平成9年に設置した。本公園は氷川町1丁目児童遊園地（S46年設置）と西側隣接の用地を買収し一体化した都市公園として整備されました。,
57,11224,公園,埼玉県戸田市,,本村公園,埼玉県戸田市 	本町3丁目12番地,,35.810338,139.67041,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=57,,,,平成9年に設置されました。本公園は中央通り二枚橋の南東に位置し、住宅が多く近年マンション等の建設がすすみ人口の増加があるところです。,
58,11224,公園,埼玉県戸田市,,下戸田１丁目児童公園,埼玉県戸田市 	下戸田1丁目5番地,,35.81256,139.687277,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=58,,,,本公園は戸田東小学校の南側に位置している。,
59,11224,公園,埼玉県戸田市,,上前谷遊園地,埼玉県戸田市氷川町2丁目8番地,,35.809529,139.656616,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=59,,,,仮称　サーパス戸田新築の提供公園　寄贈者（株）穴吹工務店,
60,11224,公園,埼玉県戸田市,,喜沢南児童遊園地,埼玉県戸田市喜沢南1丁目4番地,,35.8046198,139.6949265,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=60,,,,都市計画法第４０条第２項に基づき本市に帰属した。,
61,11224,公園,埼玉県戸田市,,本町５丁目児童遊園地,埼玉県戸田市 	本町5丁目13番地,,35.806002,139.677972,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=61,,,,提供公園　群峰工業（株）,
62,11224,公園,埼玉県戸田市,,新曽南４丁目児童遊園地,埼玉県戸田市 	新曽南4丁目5番地,,35.807773,139.661719,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=62,,,,昭和46年に整備された。この地域は住宅が密集しており、緑も少ない状態であった。,
63,11224,公園,埼玉県戸田市,,後谷児童遊園地,埼玉県戸田市上戸田4丁目11番地,,35.816751,139.675549,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=63,,,,本公園は市役所の西側に位置し、昭和47年に区画整理により設置された。,
64,11224,公園,埼玉県戸田市,,根木橋児童遊園地,埼玉県戸田市 	笹目南町21番地,,35.812282,139.652997,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=64,,,,昭和46年に整備された。,
65,11224,公園,埼玉県戸田市,,喜沢２丁目児童公園,埼玉県戸田市 	喜沢2丁目6番地,,35.810939,139.694453,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=65,,,,昭和６２年に整備された。,
66,11224,公園,埼玉県戸田市,,曲尺手遊園地,埼玉県戸田市南町8番地,,35.806358,139.672216,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=66,,,,,
67,11224,公園,埼玉県戸田市,,稲荷木公園,埼玉県戸田市上戸田字稲荷木111番地,,35.820527,139.674381,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=67,,,,開発指導要綱摘要、三交不動産（株）より寄贈,
68,11224,公園,埼玉県戸田市,,新曽柳原児童遊園地,埼玉県戸田市 	新曽字柳原979番地,,35.812967,139.669382,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=68,,,,本公園は柳原市営住宅の北側に位置し、昭和47年に設置され、平成9年に再整備をした。,
69,11224,公園,埼玉県戸田市,,菖蒲遊園地,埼玉県戸田市新曽南3丁目2番地,,35.80613,139.67008,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=69,,,,宅地開発等指導要綱による寄付　寄贈者（株）西洋環境開発,
70,11224,公園,埼玉県戸田市,,立野際小公園,埼玉県戸田市喜沢2丁目9番地,,35.809655,139.697145,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=70,,,,昭和５５年に整備された。,
71,11224,公園,埼玉県戸田市,,氷川町児童遊園地,埼玉県戸田市氷川町1丁目10番地,,35.809648,139.658203,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=71,,,,昭和54年に設置した。,
72,11224,公園,埼玉県戸田市,,本町１丁目児童遊園地,埼玉県戸田市本町1丁目18番地,,35.810619,139.679796,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=72,,,,昭和46年に設置された。本公園は戸田市子供の国の北側に位置している。,
73,11224,公園,埼玉県戸田市,,氷川町１丁目児童公園,埼玉県戸田市氷川町1丁目5番地,,35.809522,139.661636,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=73,,,,本公園は新曽小学校の西側に位置し、この地域は住宅も多くあり、緑も少ない状況でした。,
